Fragment Size,Count,Range,Group,BAM File
98,26168,100-200,Plasma,C2-57-plasma.bam
94,25084,100-200,Plasma,C2-57-plasma.bam
214,24852,200-500,Plasma,C2-57-plasma.bam
96,24312,100-200,Plasma,C2-57-plasma.bam
97,24183,100-200,Plasma,C2-57-plasma.bam
0,24087,100-200,Plasma,C2-57-plasma.bam
82,23876,100-200,Plasma,C2-57-plasma.bam
95,23272,100-200,Plasma,C2-57-plasma.bam
215,21973,200-500,Plasma,C2-57-plasma.bam
88,21840,100-200,Plasma,C2-57-plasma.bam
84,21245,100-200,Plasma,C2-57-plasma.bam
87,21138,100-200,Plasma,C2-57-plasma.bam
86,21073,100-200,Plasma,C2-57-plasma.bam
83,21022,100-200,Plasma,C2-57-plasma.bam
85,20761,100-200,Plasma,C2-57-plasma.bam
216,19485,200-500,Plasma,C2-57-plasma.bam
80,19131,100-200,Plasma,C2-57-plasma.bam
217,18261,200-500,Plasma,C2-57-plasma.bam
79,17833,100-200,Plasma,C2-57-plasma.bam
78,16685,100-200,Plasma,C2-57-plasma.bam
218,16000,200-500,Plasma,C2-57-plasma.bam
219,15222,200-500,Plasma,C2-57-plasma.bam
220,13370,200-500,Plasma,C2-57-plasma.bam
221,12281,200-500,Plasma,C2-57-plasma.bam
222,11207,200-500,Plasma,C2-57-plasma.bam
223,9696,200-500,Plasma,C2-57-plasma.bam
224,8767,200-500,Plasma,C2-57-plasma.bam
225,7666,200-500,Plasma,C2-57-plasma.bam
226,7082,200-500,Plasma,C2-57-plasma.bam
227,6148,200-500,Plasma,C2-57-plasma.bam
228,5615,200-500,Plasma,C2-57-plasma.bam
229,4972,200-500,Plasma,C2-57-plasma.bam
230,4544,200-500,Plasma,C2-57-plasma.bam
231,4240,200-500,Plasma,C2-57-plasma.bam
232,3809,200-500,Plasma,C2-57-plasma.bam
233,3359,200-500,Plasma,C2-57-plasma.bam
234,3109,200-500,Plasma,C2-57-plasma.bam
235,2725,200-500,Plasma,C2-57-plasma.bam
236,2411,200-500,Plasma,C2-57-plasma.bam
237,2168,200-500,Plasma,C2-57-plasma.bam
238,2027,200-500,Plasma,C2-57-plasma.bam
239,1826,200-500,Plasma,C2-57-plasma.bam
240,1696,200-500,Plasma,C2-57-plasma.bam
241,1623,200-500,Plasma,C2-57-plasma.bam
242,1338,200-500,Plasma,C2-57-plasma.bam
243,977,200-500,Plasma,C2-57-plasma.bam
244,887,200-500,Plasma,C2-57-plasma.bam
245,832,200-500,Plasma,C2-57-plasma.bam
246,712,200-500,Plasma,C2-57-plasma.bam
11800969,130,>1000,Plasma,C2-57-plasma.bam
2306462,103,>1000,Plasma,C2-57-plasma.bam
490279,80,>1000,Plasma,C2-57-plasma.bam
11491950,67,>1000,Plasma,C2-57-plasma.bam
324145,65,>1000,Plasma,C2-57-plasma.bam
490235,63,>1000,Plasma,C2-57-plasma.bam
324267,46,>1000,Plasma,C2-57-plasma.bam
1955134,44,>1000,Plasma,C2-57-plasma.bam
74,30,100-200,Plasma,C2-57-plasma.bam
70,28,100-200,Plasma,C2-57-plasma.bam
62,27,100-200,Plasma,C2-57-plasma.bam
75,26,100-200,Plasma,C2-57-plasma.bam
77,26,100-200,Plasma,C2-57-plasma.bam
66,25,100-200,Plasma,C2-57-plasma.bam
60,25,100-200,Plasma,C2-57-plasma.bam
61,24,100-200,Plasma,C2-57-plasma.bam
58,24,100-200,Plasma,C2-57-plasma.bam
45144628,23,>1000,Plasma,C2-57-plasma.bam
72,23,100-200,Plasma,C2-57-plasma.bam
53,23,100-200,Plasma,C2-57-plasma.bam
73,23,100-200,Plasma,C2-57-plasma.bam
113258,22,>1000,Plasma,C2-57-plasma.bam
64,22,100-200,Plasma,C2-57-plasma.bam
68,21,100-200,Plasma,C2-57-plasma.bam
71,21,100-200,Plasma,C2-57-plasma.bam
65,20,100-200,Plasma,C2-57-plasma.bam
76,20,100-200,Plasma,C2-57-plasma.bam
30,20,100-200,Plasma,C2-57-plasma.bam
841362,19,>1000,Plasma,C2-57-plasma.bam
63,19,100-200,Plasma,C2-57-plasma.bam
7970,19,>1000,Plasma,C2-57-plasma.bam
45,19,100-200,Plasma,C2-57-plasma.bam
13922,18,>1000,Plasma,C2-57-plasma.bam
4955399,18,>1000,Plasma,C2-57-plasma.bam
