Fragment Size,Count,Range,Group,BAM File
300394,1,>1000,Plasma,E27-plasma.bam
300531,1,>1000,Plasma,E27-plasma.bam
190294,1,>1000,Plasma,E27-plasma.bam
134334,1,>1000,Plasma,E27-plasma.bam
308724,1,>1000,Plasma,E27-plasma.bam
15644975,1,>1000,Plasma,E27-plasma.bam
70311592,1,>1000,Plasma,E27-plasma.bam
162727075,1,>1000,Plasma,E27-plasma.bam
8559,1,>1000,Plasma,E27-plasma.bam
8380,1,>1000,Plasma,E27-plasma.bam
26239,1,>1000,Plasma,E27-plasma.bam
747763,1,>1000,Plasma,E27-plasma.bam
16477,1,>1000,Plasma,E27-plasma.bam
16278,1,>1000,Plasma,E27-plasma.bam
16292,1,>1000,Plasma,E27-plasma.bam
722120,1,>1000,Plasma,E27-plasma.bam
311124,1,>1000,Plasma,E27-plasma.bam
137247,1,>1000,Plasma,E27-plasma.bam
31381,1,>1000,Plasma,E27-plasma.bam
295553,1,>1000,Plasma,E27-plasma.bam
304793,1,>1000,Plasma,E27-plasma.bam
32200,1,>1000,Plasma,E27-plasma.bam
51804,1,>1000,Plasma,E27-plasma.bam
249379,1,>1000,Plasma,E27-plasma.bam
523964,1,>1000,Plasma,E27-plasma.bam
15636566,1,>1000,Plasma,E27-plasma.bam
45830551,1,>1000,Plasma,E27-plasma.bam
206786,1,>1000,Plasma,E27-plasma.bam
104744,1,>1000,Plasma,E27-plasma.bam
29904,1,>1000,Plasma,E27-plasma.bam
45830829,1,>1000,Plasma,E27-plasma.bam
45830954,1,>1000,Plasma,E27-plasma.bam
10990,1,>1000,Plasma,E27-plasma.bam
19216,1,>1000,Plasma,E27-plasma.bam
320611,1,>1000,Plasma,E27-plasma.bam
14116,1,>1000,Plasma,E27-plasma.bam
101085,1,>1000,Plasma,E27-plasma.bam
280256,1,>1000,Plasma,E27-plasma.bam
283506,1,>1000,Plasma,E27-plasma.bam
283684,1,>1000,Plasma,E27-plasma.bam
162164,1,>1000,Plasma,E27-plasma.bam
45827446,1,>1000,Plasma,E27-plasma.bam
45826636,1,>1000,Plasma,E27-plasma.bam
714131,1,>1000,Plasma,E27-plasma.bam
200118,1,>1000,Plasma,E27-plasma.bam
200095,1,>1000,Plasma,E27-plasma.bam
200064,1,>1000,Plasma,E27-plasma.bam
318857,1,>1000,Plasma,E27-plasma.bam
45826539,1,>1000,Plasma,E27-plasma.bam
45826695,1,>1000,Plasma,E27-plasma.bam
49946,1,>1000,Plasma,E27-plasma.bam
49817,1,>1000,Plasma,E27-plasma.bam
285258,1,>1000,Plasma,E27-plasma.bam
706987,1,>1000,Plasma,E27-plasma.bam
706940,1,>1000,Plasma,E27-plasma.bam
386986,1,>1000,Plasma,E27-plasma.bam
386816,1,>1000,Plasma,E27-plasma.bam
279311,1,>1000,Plasma,E27-plasma.bam
281302,1,>1000,Plasma,E27-plasma.bam
281316,1,>1000,Plasma,E27-plasma.bam
45819147,1,>1000,Plasma,E27-plasma.bam
248946,1,>1000,Plasma,E27-plasma.bam
686,1,500-1000,Plasma,E27-plasma.bam
73133,1,>1000,Plasma,E27-plasma.bam
45816834,1,>1000,Plasma,E27-plasma.bam
45816940,1,>1000,Plasma,E27-plasma.bam
15626434,1,>1000,Plasma,E27-plasma.bam
15626406,1,>1000,Plasma,E27-plasma.bam
280103,1,>1000,Plasma,E27-plasma.bam
223409,1,>1000,Plasma,E27-plasma.bam
335148,1,>1000,Plasma,E27-plasma.bam
252992,1,>1000,Plasma,E27-plasma.bam
220595,1,>1000,Plasma,E27-plasma.bam
220449,1,>1000,Plasma,E27-plasma.bam
45815950,1,>1000,Plasma,E27-plasma.bam
45815951,1,>1000,Plasma,E27-plasma.bam
83523,1,>1000,Plasma,E27-plasma.bam
47047,1,>1000,Plasma,E27-plasma.bam
119119,1,>1000,Plasma,E27-plasma.bam
119004,1,>1000,Plasma,E27-plasma.bam
721340,1,>1000,Plasma,E27-plasma.bam
22596,1,>1000,Plasma,E27-plasma.bam
5097,1,>1000,Plasma,E27-plasma.bam
81472,1,>1000,Plasma,E27-plasma.bam
251251,1,>1000,Plasma,E27-plasma.bam
88781,1,>1000,Plasma,E27-plasma.bam
201034,1,>1000,Plasma,E27-plasma.bam
7933,1,>1000,Plasma,E27-plasma.bam
215127,1,>1000,Plasma,E27-plasma.bam
17845,1,>1000,Plasma,E27-plasma.bam
200212,1,>1000,Plasma,E27-plasma.bam
200072,1,>1000,Plasma,E27-plasma.bam
78413,1,>1000,Plasma,E27-plasma.bam
391419,1,>1000,Plasma,E27-plasma.bam
334740,1,>1000,Plasma,E27-plasma.bam
37882,1,>1000,Plasma,E27-plasma.bam
45809951,1,>1000,Plasma,E27-plasma.bam
274014,1,>1000,Plasma,E27-plasma.bam
5973,1,>1000,Plasma,E27-plasma.bam
5819,1,>1000,Plasma,E27-plasma.bam
223561,1,>1000,Plasma,E27-plasma.bam
13253,1,>1000,Plasma,E27-plasma.bam
11698,1,>1000,Plasma,E27-plasma.bam
48748748,1,>1000,Plasma,E27-plasma.bam
38297835,1,>1000,Plasma,E27-plasma.bam
1018,1,>1000,Plasma,E27-plasma.bam
147503869,1,>1000,Plasma,E27-plasma.bam
25686998,1,>1000,Plasma,E27-plasma.bam
25687047,1,>1000,Plasma,E27-plasma.bam
75680,1,>1000,Plasma,E27-plasma.bam
22232,1,>1000,Plasma,E27-plasma.bam
45809677,1,>1000,Plasma,E27-plasma.bam
53548,1,>1000,Plasma,E27-plasma.bam
342931,1,>1000,Plasma,E27-plasma.bam
270238,1,>1000,Plasma,E27-plasma.bam
223006,1,>1000,Plasma,E27-plasma.bam
222851,1,>1000,Plasma,E27-plasma.bam
30542,1,>1000,Plasma,E27-plasma.bam
273139,1,>1000,Plasma,E27-plasma.bam
144992,1,>1000,Plasma,E27-plasma.bam
144858,1,>1000,Plasma,E27-plasma.bam
101854,1,>1000,Plasma,E27-plasma.bam
30439,1,>1000,Plasma,E27-plasma.bam
30292,1,>1000,Plasma,E27-plasma.bam
265198,1,>1000,Plasma,E27-plasma.bam
279202,1,>1000,Plasma,E27-plasma.bam
258823,1,>1000,Plasma,E27-plasma.bam
378274,1,>1000,Plasma,E27-plasma.bam
45807013,1,>1000,Plasma,E27-plasma.bam
265863,1,>1000,Plasma,E27-plasma.bam
266009,1,>1000,Plasma,E27-plasma.bam
126379,1,>1000,Plasma,E27-plasma.bam
99102,1,>1000,Plasma,E27-plasma.bam
45801685,1,>1000,Plasma,E27-plasma.bam
45797512,1,>1000,Plasma,E27-plasma.bam
15604857,1,>1000,Plasma,E27-plasma.bam
59602,1,>1000,Plasma,E27-plasma.bam
186689,1,>1000,Plasma,E27-plasma.bam
236392,1,>1000,Plasma,E27-plasma.bam
61007,1,>1000,Plasma,E27-plasma.bam
258721,1,>1000,Plasma,E27-plasma.bam
258829,1,>1000,Plasma,E27-plasma.bam
15824,1,>1000,Plasma,E27-plasma.bam
261642,1,>1000,Plasma,E27-plasma.bam
267006,1,>1000,Plasma,E27-plasma.bam
145193,1,>1000,Plasma,E27-plasma.bam
105679,1,>1000,Plasma,E27-plasma.bam
29362,1,>1000,Plasma,E27-plasma.bam
45804009,1,>1000,Plasma,E27-plasma.bam
284405,1,>1000,Plasma,E27-plasma.bam
381807,1,>1000,Plasma,E27-plasma.bam
263917,1,>1000,Plasma,E27-plasma.bam
263915,1,>1000,Plasma,E27-plasma.bam
265592,1,>1000,Plasma,E27-plasma.bam
215546,1,>1000,Plasma,E27-plasma.bam
215403,1,>1000,Plasma,E27-plasma.bam
215396,1,>1000,Plasma,E27-plasma.bam
407367,1,>1000,Plasma,E27-plasma.bam
45797137,1,>1000,Plasma,E27-plasma.bam
262343,1,>1000,Plasma,E27-plasma.bam
262341,1,>1000,Plasma,E27-plasma.bam
262414,1,>1000,Plasma,E27-plasma.bam
76862,1,>1000,Plasma,E27-plasma.bam
50152,1,>1000,Plasma,E27-plasma.bam
45800929,1,>1000,Plasma,E27-plasma.bam
45540757,1,>1000,Plasma,E27-plasma.bam
485310,1,>1000,Plasma,E27-plasma.bam
485332,1,>1000,Plasma,E27-plasma.bam
499718,1,>1000,Plasma,E27-plasma.bam
1560,1,>1000,Plasma,E27-plasma.bam
634562,1,>1000,Plasma,E27-plasma.bam
2923,1,>1000,Plasma,E27-plasma.bam
451905,1,>1000,Plasma,E27-plasma.bam
623453,1,>1000,Plasma,E27-plasma.bam
303297,1,>1000,Plasma,E27-plasma.bam
469364,1,>1000,Plasma,E27-plasma.bam
469229,1,>1000,Plasma,E27-plasma.bam
490423,1,>1000,Plasma,E27-plasma.bam
257124,1,>1000,Plasma,E27-plasma.bam
36165,1,>1000,Plasma,E27-plasma.bam
51230,1,>1000,Plasma,E27-plasma.bam
8685,1,>1000,Plasma,E27-plasma.bam
489692,1,>1000,Plasma,E27-plasma.bam
2696,1,>1000,Plasma,E27-plasma.bam
279840,1,>1000,Plasma,E27-plasma.bam
450116,1,>1000,Plasma,E27-plasma.bam
368419,1,>1000,Plasma,E27-plasma.bam
596,1,500-1000,Plasma,E27-plasma.bam
2198,1,>1000,Plasma,E27-plasma.bam
528920,1,>1000,Plasma,E27-plasma.bam
528757,1,>1000,Plasma,E27-plasma.bam
322111,1,>1000,Plasma,E27-plasma.bam
530088,1,>1000,Plasma,E27-plasma.bam
538272,1,>1000,Plasma,E27-plasma.bam
502676,1,>1000,Plasma,E27-plasma.bam
1589,1,>1000,Plasma,E27-plasma.bam
45540543,1,>1000,Plasma,E27-plasma.bam
310824,1,>1000,Plasma,E27-plasma.bam
449743,1,>1000,Plasma,E27-plasma.bam
449732,1,>1000,Plasma,E27-plasma.bam
2711,1,>1000,Plasma,E27-plasma.bam
2715,1,>1000,Plasma,E27-plasma.bam
469948,1,>1000,Plasma,E27-plasma.bam
312355,1,>1000,Plasma,E27-plasma.bam
312220,1,>1000,Plasma,E27-plasma.bam
474253,1,>1000,Plasma,E27-plasma.bam
612274,1,>1000,Plasma,E27-plasma.bam
463852,1,>1000,Plasma,E27-plasma.bam
330561,1,>1000,Plasma,E27-plasma.bam
2948,1,>1000,Plasma,E27-plasma.bam
2913,1,>1000,Plasma,E27-plasma.bam
2758,1,>1000,Plasma,E27-plasma.bam
306952,1,>1000,Plasma,E27-plasma.bam
2190,1,>1000,Plasma,E27-plasma.bam
420851,1,>1000,Plasma,E27-plasma.bam
420813,1,>1000,Plasma,E27-plasma.bam
504346,1,>1000,Plasma,E27-plasma.bam
301133,1,>1000,Plasma,E27-plasma.bam
300970,1,>1000,Plasma,E27-plasma.bam
296467,1,>1000,Plasma,E27-plasma.bam
296597,1,>1000,Plasma,E27-plasma.bam
296451,1,>1000,Plasma,E27-plasma.bam
411698,1,>1000,Plasma,E27-plasma.bam
513993,1,>1000,Plasma,E27-plasma.bam
422756,1,>1000,Plasma,E27-plasma.bam
45527440,1,>1000,Plasma,E27-plasma.bam
364287,1,>1000,Plasma,E27-plasma.bam
364293,1,>1000,Plasma,E27-plasma.bam
615958,1,>1000,Plasma,E27-plasma.bam
411122,1,>1000,Plasma,E27-plasma.bam
418426,1,>1000,Plasma,E27-plasma.bam
444569,1,>1000,Plasma,E27-plasma.bam
303050,1,>1000,Plasma,E27-plasma.bam
645599,1,>1000,Plasma,E27-plasma.bam
428195,1,>1000,Plasma,E27-plasma.bam
428200,1,>1000,Plasma,E27-plasma.bam
445354,1,>1000,Plasma,E27-plasma.bam
531704,1,>1000,Plasma,E27-plasma.bam
4708,1,>1000,Plasma,E27-plasma.bam
4543,1,>1000,Plasma,E27-plasma.bam
419990,1,>1000,Plasma,E27-plasma.bam
10022,1,>1000,Plasma,E27-plasma.bam
516399,1,>1000,Plasma,E27-plasma.bam
516398,1,>1000,Plasma,E27-plasma.bam
516251,1,>1000,Plasma,E27-plasma.bam
45545419,1,>1000,Plasma,E27-plasma.bam
7981,1,>1000,Plasma,E27-plasma.bam
7955,1,>1000,Plasma,E27-plasma.bam
7997,1,>1000,Plasma,E27-plasma.bam
8175,1,>1000,Plasma,E27-plasma.bam
24241,1,>1000,Plasma,E27-plasma.bam
6335,1,>1000,Plasma,E27-plasma.bam
45545737,1,>1000,Plasma,E27-plasma.bam
8449,1,>1000,Plasma,E27-plasma.bam
45545881,1,>1000,Plasma,E27-plasma.bam
45545883,1,>1000,Plasma,E27-plasma.bam
25274,1,>1000,Plasma,E27-plasma.bam
339869,1,>1000,Plasma,E27-plasma.bam
507261,1,>1000,Plasma,E27-plasma.bam
518676,1,>1000,Plasma,E27-plasma.bam
45529876,1,>1000,Plasma,E27-plasma.bam
45545436,1,>1000,Plasma,E27-plasma.bam
1092,1,>1000,Plasma,E27-plasma.bam
1081,1,>1000,Plasma,E27-plasma.bam
911,1,500-1000,Plasma,E27-plasma.bam
603,1,500-1000,Plasma,E27-plasma.bam
67032060,1,>1000,Plasma,E27-plasma.bam
1644,1,>1000,Plasma,E27-plasma.bam
11883461,1,>1000,Plasma,E27-plasma.bam
3868,1,>1000,Plasma,E27-plasma.bam
1007,1,>1000,Plasma,E27-plasma.bam
851,1,500-1000,Plasma,E27-plasma.bam
1010,1,>1000,Plasma,E27-plasma.bam
45545585,1,>1000,Plasma,E27-plasma.bam
24062,1,>1000,Plasma,E27-plasma.bam
7964,1,>1000,Plasma,E27-plasma.bam
7950,1,>1000,Plasma,E27-plasma.bam
53118763,1,>1000,Plasma,E27-plasma.bam
618,1,500-1000,Plasma,E27-plasma.bam
35016673,1,>1000,Plasma,E27-plasma.bam
23248374,1,>1000,Plasma,E27-plasma.bam
1331,1,>1000,Plasma,E27-plasma.bam
395910,1,>1000,Plasma,E27-plasma.bam
395956,1,>1000,Plasma,E27-plasma.bam
7788,1,>1000,Plasma,E27-plasma.bam
7795,1,>1000,Plasma,E27-plasma.bam
7750,1,>1000,Plasma,E27-plasma.bam
7772,1,>1000,Plasma,E27-plasma.bam
7801,1,>1000,Plasma,E27-plasma.bam
24096,1,>1000,Plasma,E27-plasma.bam
24205,1,>1000,Plasma,E27-plasma.bam
21119,1,>1000,Plasma,E27-plasma.bam
21085,1,>1000,Plasma,E27-plasma.bam
7789,1,>1000,Plasma,E27-plasma.bam
7793,1,>1000,Plasma,E27-plasma.bam
7781,1,>1000,Plasma,E27-plasma.bam
7760,1,>1000,Plasma,E27-plasma.bam
7791,1,>1000,Plasma,E27-plasma.bam
7753,1,>1000,Plasma,E27-plasma.bam
7780,1,>1000,Plasma,E27-plasma.bam
7766,1,>1000,Plasma,E27-plasma.bam
7757,1,>1000,Plasma,E27-plasma.bam
140407797,1,>1000,Plasma,E27-plasma.bam
380,1,200-500,Plasma,E27-plasma.bam
35322729,1,>1000,Plasma,E27-plasma.bam
131537604,1,>1000,Plasma,E27-plasma.bam
9679,1,>1000,Plasma,E27-plasma.bam
9816,1,>1000,Plasma,E27-plasma.bam
13386,1,>1000,Plasma,E27-plasma.bam
14358,1,>1000,Plasma,E27-plasma.bam
45536902,1,>1000,Plasma,E27-plasma.bam
14528,1,>1000,Plasma,E27-plasma.bam
7337,1,>1000,Plasma,E27-plasma.bam
7468,1,>1000,Plasma,E27-plasma.bam
14193,1,>1000,Plasma,E27-plasma.bam
1564,1,>1000,Plasma,E27-plasma.bam
16244,1,>1000,Plasma,E27-plasma.bam
4983,1,>1000,Plasma,E27-plasma.bam
391671,1,>1000,Plasma,E27-plasma.bam
7782,1,>1000,Plasma,E27-plasma.bam
7802,1,>1000,Plasma,E27-plasma.bam
7794,1,>1000,Plasma,E27-plasma.bam
7776,1,>1000,Plasma,E27-plasma.bam
7754,1,>1000,Plasma,E27-plasma.bam
7799,1,>1000,Plasma,E27-plasma.bam
45533446,1,>1000,Plasma,E27-plasma.bam
7166,1,>1000,Plasma,E27-plasma.bam
6179,1,>1000,Plasma,E27-plasma.bam
1102,1,>1000,Plasma,E27-plasma.bam
13849,1,>1000,Plasma,E27-plasma.bam
13808,1,>1000,Plasma,E27-plasma.bam
45538773,1,>1000,Plasma,E27-plasma.bam
14202,1,>1000,Plasma,E27-plasma.bam
14369,1,>1000,Plasma,E27-plasma.bam
14929,1,>1000,Plasma,E27-plasma.bam
13037,1,>1000,Plasma,E27-plasma.bam
14818,1,>1000,Plasma,E27-plasma.bam
15452,1,>1000,Plasma,E27-plasma.bam
14553,1,>1000,Plasma,E27-plasma.bam
14365,1,>1000,Plasma,E27-plasma.bam
17742,1,>1000,Plasma,E27-plasma.bam
9092,1,>1000,Plasma,E27-plasma.bam
6847,1,>1000,Plasma,E27-plasma.bam
5884,1,>1000,Plasma,E27-plasma.bam
1147,1,>1000,Plasma,E27-plasma.bam
1338,1,>1000,Plasma,E27-plasma.bam
8576,1,>1000,Plasma,E27-plasma.bam
8839,1,>1000,Plasma,E27-plasma.bam
10994,1,>1000,Plasma,E27-plasma.bam
6299,1,>1000,Plasma,E27-plasma.bam
12721,1,>1000,Plasma,E27-plasma.bam
7785,1,>1000,Plasma,E27-plasma.bam
13796,1,>1000,Plasma,E27-plasma.bam
13972,1,>1000,Plasma,E27-plasma.bam
972,1,500-1000,Plasma,E27-plasma.bam
6834,1,>1000,Plasma,E27-plasma.bam
7033,1,>1000,Plasma,E27-plasma.bam
45514655,1,>1000,Plasma,E27-plasma.bam
6957,1,>1000,Plasma,E27-plasma.bam
10569,1,>1000,Plasma,E27-plasma.bam
16091,1,>1000,Plasma,E27-plasma.bam
3116,1,>1000,Plasma,E27-plasma.bam
9130,1,>1000,Plasma,E27-plasma.bam
15235,1,>1000,Plasma,E27-plasma.bam
9529,1,>1000,Plasma,E27-plasma.bam
6903,1,>1000,Plasma,E27-plasma.bam
6803,1,>1000,Plasma,E27-plasma.bam
6229,1,>1000,Plasma,E27-plasma.bam
6399,1,>1000,Plasma,E27-plasma.bam
6247,1,>1000,Plasma,E27-plasma.bam
9625,1,>1000,Plasma,E27-plasma.bam
5624,1,>1000,Plasma,E27-plasma.bam
5594,1,>1000,Plasma,E27-plasma.bam
45512831,1,>1000,Plasma,E27-plasma.bam
45521670,1,>1000,Plasma,E27-plasma.bam
72584,1,>1000,Plasma,E27-plasma.bam
219306924,1,>1000,Plasma,E27-plasma.bam
979,1,500-1000,Plasma,E27-plasma.bam
810,1,500-1000,Plasma,E27-plasma.bam
36175479,1,>1000,Plasma,E27-plasma.bam
38176077,1,>1000,Plasma,E27-plasma.bam
10254187,1,>1000,Plasma,E27-plasma.bam
1644407,1,>1000,Plasma,E27-plasma.bam
45521637,1,>1000,Plasma,E27-plasma.bam
3587,1,>1000,Plasma,E27-plasma.bam
45513622,1,>1000,Plasma,E27-plasma.bam
3542,1,>1000,Plasma,E27-plasma.bam
15580,1,>1000,Plasma,E27-plasma.bam
14579,1,>1000,Plasma,E27-plasma.bam
8939,1,>1000,Plasma,E27-plasma.bam
17871,1,>1000,Plasma,E27-plasma.bam
2599,1,>1000,Plasma,E27-plasma.bam
45515069,1,>1000,Plasma,E27-plasma.bam
13999,1,>1000,Plasma,E27-plasma.bam
13713,1,>1000,Plasma,E27-plasma.bam
13514,1,>1000,Plasma,E27-plasma.bam
3228,1,>1000,Plasma,E27-plasma.bam
3375,1,>1000,Plasma,E27-plasma.bam
13998,1,>1000,Plasma,E27-plasma.bam
12894,1,>1000,Plasma,E27-plasma.bam
12717,1,>1000,Plasma,E27-plasma.bam
14955,1,>1000,Plasma,E27-plasma.bam
21120,1,>1000,Plasma,E27-plasma.bam
21134,1,>1000,Plasma,E27-plasma.bam
21124,1,>1000,Plasma,E27-plasma.bam
45506696,1,>1000,Plasma,E27-plasma.bam
5985,1,>1000,Plasma,E27-plasma.bam
45511895,1,>1000,Plasma,E27-plasma.bam
45511867,1,>1000,Plasma,E27-plasma.bam
1853,1,>1000,Plasma,E27-plasma.bam
17656,1,>1000,Plasma,E27-plasma.bam
17800,1,>1000,Plasma,E27-plasma.bam
24911,1,>1000,Plasma,E27-plasma.bam
25031,1,>1000,Plasma,E27-plasma.bam
24888,1,>1000,Plasma,E27-plasma.bam
24314,1,>1000,Plasma,E27-plasma.bam
922,1,500-1000,Plasma,E27-plasma.bam
1109,1,>1000,Plasma,E27-plasma.bam
45509861,1,>1000,Plasma,E27-plasma.bam
45509835,1,>1000,Plasma,E27-plasma.bam
9094,1,>1000,Plasma,E27-plasma.bam
558443,1,>1000,Plasma,E27-plasma.bam
519632,1,>1000,Plasma,E27-plasma.bam
527037,1,>1000,Plasma,E27-plasma.bam
527039,1,>1000,Plasma,E27-plasma.bam
230869,1,>1000,Plasma,E27-plasma.bam
231018,1,>1000,Plasma,E27-plasma.bam
25341,1,>1000,Plasma,E27-plasma.bam
22865,1,>1000,Plasma,E27-plasma.bam
26886,1,>1000,Plasma,E27-plasma.bam
10740,1,>1000,Plasma,E27-plasma.bam
13897,1,>1000,Plasma,E27-plasma.bam
13882,1,>1000,Plasma,E27-plasma.bam
17561,1,>1000,Plasma,E27-plasma.bam
45507496,1,>1000,Plasma,E27-plasma.bam
45507452,1,>1000,Plasma,E27-plasma.bam
3231,1,>1000,Plasma,E27-plasma.bam
846056,1,>1000,Plasma,E27-plasma.bam
846110,1,>1000,Plasma,E27-plasma.bam
45326697,1,>1000,Plasma,E27-plasma.bam
464560,1,>1000,Plasma,E27-plasma.bam
15139558,1,>1000,Plasma,E27-plasma.bam
222244,1,>1000,Plasma,E27-plasma.bam
222373,1,>1000,Plasma,E27-plasma.bam
15146678,1,>1000,Plasma,E27-plasma.bam
226260,1,>1000,Plasma,E27-plasma.bam
164217,1,>1000,Plasma,E27-plasma.bam
164220,1,>1000,Plasma,E27-plasma.bam
164369,1,>1000,Plasma,E27-plasma.bam
511930,1,>1000,Plasma,E27-plasma.bam
226994,1,>1000,Plasma,E27-plasma.bam
227005,1,>1000,Plasma,E27-plasma.bam
227009,1,>1000,Plasma,E27-plasma.bam
516015,1,>1000,Plasma,E27-plasma.bam
516071,1,>1000,Plasma,E27-plasma.bam
214585,1,>1000,Plasma,E27-plasma.bam
170267,1,>1000,Plasma,E27-plasma.bam
170260,1,>1000,Plasma,E27-plasma.bam
170292,1,>1000,Plasma,E27-plasma.bam
214720,1,>1000,Plasma,E27-plasma.bam
170280,1,>1000,Plasma,E27-plasma.bam
219321,1,>1000,Plasma,E27-plasma.bam
219323,1,>1000,Plasma,E27-plasma.bam
219328,1,>1000,Plasma,E27-plasma.bam
618522,1,>1000,Plasma,E27-plasma.bam
228192,1,>1000,Plasma,E27-plasma.bam
755695,1,>1000,Plasma,E27-plasma.bam
204677,1,>1000,Plasma,E27-plasma.bam
204739,1,>1000,Plasma,E27-plasma.bam
854623,1,>1000,Plasma,E27-plasma.bam
854695,1,>1000,Plasma,E27-plasma.bam
144879,1,>1000,Plasma,E27-plasma.bam
215099,1,>1000,Plasma,E27-plasma.bam
226212,1,>1000,Plasma,E27-plasma.bam
154346,1,>1000,Plasma,E27-plasma.bam
154351,1,>1000,Plasma,E27-plasma.bam
778429,1,>1000,Plasma,E27-plasma.bam
203244,1,>1000,Plasma,E27-plasma.bam
45304545,1,>1000,Plasma,E27-plasma.bam
158031,1,>1000,Plasma,E27-plasma.bam
692941,1,>1000,Plasma,E27-plasma.bam
859522,1,>1000,Plasma,E27-plasma.bam
859559,1,>1000,Plasma,E27-plasma.bam
731492,1,>1000,Plasma,E27-plasma.bam
173831,1,>1000,Plasma,E27-plasma.bam
801355,1,>1000,Plasma,E27-plasma.bam
340312,1,>1000,Plasma,E27-plasma.bam
65167,1,>1000,Plasma,E27-plasma.bam
87672,1,>1000,Plasma,E27-plasma.bam
787629,1,>1000,Plasma,E27-plasma.bam
578740,1,>1000,Plasma,E27-plasma.bam
788475,1,>1000,Plasma,E27-plasma.bam
104475,1,>1000,Plasma,E27-plasma.bam
110099,1,>1000,Plasma,E27-plasma.bam
110100,1,>1000,Plasma,E27-plasma.bam
564909,1,>1000,Plasma,E27-plasma.bam
183013,1,>1000,Plasma,E27-plasma.bam
878282,1,>1000,Plasma,E27-plasma.bam
132589,1,>1000,Plasma,E27-plasma.bam
135925,1,>1000,Plasma,E27-plasma.bam
135936,1,>1000,Plasma,E27-plasma.bam
9187,1,>1000,Plasma,E27-plasma.bam
52784,1,>1000,Plasma,E27-plasma.bam
52922,1,>1000,Plasma,E27-plasma.bam
782216,1,>1000,Plasma,E27-plasma.bam
45166158,1,>1000,Plasma,E27-plasma.bam
45166165,1,>1000,Plasma,E27-plasma.bam
90442,1,>1000,Plasma,E27-plasma.bam
90446,1,>1000,Plasma,E27-plasma.bam
85688,1,>1000,Plasma,E27-plasma.bam
651812,1,>1000,Plasma,E27-plasma.bam
651857,1,>1000,Plasma,E27-plasma.bam
89217,1,>1000,Plasma,E27-plasma.bam
45031319,1,>1000,Plasma,E27-plasma.bam
45183904,1,>1000,Plasma,E27-plasma.bam
14994578,1,>1000,Plasma,E27-plasma.bam
45190889,1,>1000,Plasma,E27-plasma.bam
17528,1,>1000,Plasma,E27-plasma.bam
29144,1,>1000,Plasma,E27-plasma.bam
797040,1,>1000,Plasma,E27-plasma.bam
135918,1,>1000,Plasma,E27-plasma.bam
135916,1,>1000,Plasma,E27-plasma.bam
126931,1,>1000,Plasma,E27-plasma.bam
126937,1,>1000,Plasma,E27-plasma.bam
135789,1,>1000,Plasma,E27-plasma.bam
379331,1,>1000,Plasma,E27-plasma.bam
379338,1,>1000,Plasma,E27-plasma.bam
379330,1,>1000,Plasma,E27-plasma.bam
379381,1,>1000,Plasma,E27-plasma.bam
1047143,1,>1000,Plasma,E27-plasma.bam
927931,1,>1000,Plasma,E27-plasma.bam
9184,1,>1000,Plasma,E27-plasma.bam
9186,1,>1000,Plasma,E27-plasma.bam
12563,1,>1000,Plasma,E27-plasma.bam
12565,1,>1000,Plasma,E27-plasma.bam
12578,1,>1000,Plasma,E27-plasma.bam
917743,1,>1000,Plasma,E27-plasma.bam
917787,1,>1000,Plasma,E27-plasma.bam
398718,1,>1000,Plasma,E27-plasma.bam
386427,1,>1000,Plasma,E27-plasma.bam
386497,1,>1000,Plasma,E27-plasma.bam
757394,1,>1000,Plasma,E27-plasma.bam
913267,1,>1000,Plasma,E27-plasma.bam
33871,1,>1000,Plasma,E27-plasma.bam
34037,1,>1000,Plasma,E27-plasma.bam
3517,1,>1000,Plasma,E27-plasma.bam
188057,1,>1000,Plasma,E27-plasma.bam
1056843,1,>1000,Plasma,E27-plasma.bam
1056902,1,>1000,Plasma,E27-plasma.bam
692370,1,>1000,Plasma,E27-plasma.bam
3694,1,>1000,Plasma,E27-plasma.bam
1069344,1,>1000,Plasma,E27-plasma.bam
1035208,1,>1000,Plasma,E27-plasma.bam
425761,1,>1000,Plasma,E27-plasma.bam
425762,1,>1000,Plasma,E27-plasma.bam
722693,1,>1000,Plasma,E27-plasma.bam
786601,1,>1000,Plasma,E27-plasma.bam
1025151,1,>1000,Plasma,E27-plasma.bam
928629,1,>1000,Plasma,E27-plasma.bam
836811,1,>1000,Plasma,E27-plasma.bam
408765,1,>1000,Plasma,E27-plasma.bam
408856,1,>1000,Plasma,E27-plasma.bam
748139,1,>1000,Plasma,E27-plasma.bam
35564,1,>1000,Plasma,E27-plasma.bam
12573,1,>1000,Plasma,E27-plasma.bam
432301,1,>1000,Plasma,E27-plasma.bam
992,1,500-1000,Plasma,E27-plasma.bam
83418,1,>1000,Plasma,E27-plasma.bam
83257,1,>1000,Plasma,E27-plasma.bam
75838,1,>1000,Plasma,E27-plasma.bam
75683,1,>1000,Plasma,E27-plasma.bam
88560,1,>1000,Plasma,E27-plasma.bam
80769,1,>1000,Plasma,E27-plasma.bam
62998,1,>1000,Plasma,E27-plasma.bam
101226,1,>1000,Plasma,E27-plasma.bam
100698,1,>1000,Plasma,E27-plasma.bam
97151,1,>1000,Plasma,E27-plasma.bam
96970,1,>1000,Plasma,E27-plasma.bam
