## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/plasma/E23.plasma.insert_size_histogram.pdf --INPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/recal/E23-plasma.bam --OUTPUT /data/delcorvo/analysis/liquid_biopsy_project/derived_data/qc/picard/plasma/E23.plasma.insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 19:50:56 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
172	167	12	2	242919049	171.152546	22.70472	25120574	FR	5	9	13	19	25	33	43	59	99	301	433			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	10
3	9
4	6
5	5
6	5
7	7
8	11
9	5
10	9
11	6
12	10
13	9
14	10
15	10
16	5
17	8
18	8
19	6
20	5
21	5
22	8
23	9
24	6
25	8
26	16
27	14
28	27
29	46
30	400
31	422
32	454
33	519
34	570
35	674
36	732
37	820
38	948
39	949
40	989
41	1057
42	1149
43	1188
44	1243
45	1306
46	1373
47	1429
48	1615
49	1641
50	1818
51	1797
52	1847
53	1985
54	2151
55	2151
56	2181
57	2341
58	2455
59	2651
60	2649
61	2830
62	2695
63	2782
64	2898
65	2883
66	3072
67	3099
68	3172
69	3427
70	3459
71	3481
72	3475
73	3555
74	3736
75	3658
76	3869
77	4082
78	4238
79	4581
80	4846
81	4848
82	4436
83	4174
84	4437
85	4337
86	4716
87	4751
88	4802
89	5699
90	6578
91	6964
92	7039
93	6544
94	6191
95	5994
96	6209
97	6234
98	6757
99	7528
100	8087
101	8416
102	8217
103	8218
104	8181
105	7980
106	7942
107	8315
108	8970
109	10118
110	11592
111	12866
112	13033
113	11900
114	11306
115	11302
116	11909
117	12232
118	13508
119	16265
120	20827
121	27367
122	32208
123	31428
124	24961
125	20123
126	18820
127	19767
128	22135
129	25458
130	31518
131	41362
132	56714
133	72475
134	76015
135	63869
136	55843
137	58449
138	71429
139	92080
140	117946
141	137144
142	142898
143	142710
144	145703
145	149355
146	149604
147	152636
148	163694
149	181363
150	203794
151	229865
152	251116
153	252572
154	243295
155	244800
156	261139
157	292364
158	332145
159	375716
160	411287
161	434949
162	458804
163	503295
164	570827
165	633959
166	663449
167	670649
168	661538
169	641193
170	609281
171	576555
172	555131
173	547883
174	546570
175	547627
176	545017
177	526836
178	498225
179	463139
180	427028
181	392834
182	362980
183	342227
184	323654
185	312648
186	303223
187	294425
188	283392
189	267189
190	249127
191	229197
192	209551
193	193203
194	179300
195	167940
196	159653
197	152874
198	146342
199	138465
200	130518
201	121881
202	111836
203	103040
204	94627
205	87823
206	82000
207	77101
208	72473
209	68368
210	64435
211	60458
212	55978
213	50941
214	46962
215	43108
216	40135
217	36716
218	34634
219	32648
220	30016
221	28114
222	26246
223	23994
224	22302
225	20398
226	18712
227	17142
228	15759
229	14797
230	13865
231	12717
232	12012
233	10815
234	10018
235	9182
236	8397
237	7931
238	7499
239	6928
240	6406
241	5938
242	5641
243	5351
244	4952
245	4645
246	4278
247	3922
248	3807
249	3603
250	3445
251	3245
252	3066
253	2969
254	2859
255	2817
256	2761
257	2749
258	2274
259	2203
260	2184
261	2079
262	1929
263	1959
264	1934
265	1907
266	1774
267	1767
268	1761
269	1848
270	1765
271	1926
272	1994
273	1993
274	1985
275	1985
276	1943
277	2060
278	2004
279	2212
280	2357
281	2696
282	2760
283	2851
284	2873
285	3082
286	3142
287	3365
288	3667
289	3877
290	4010
291	4334
292	4540

